n_caso;Sexo;idade;grupoet;habilit;p1;p2;p3;p4;p5a;p5b;p5c;p5d;p5e;p5f;p5g;p5h;p5i;p5j;p5k;pb;pc;pd;pe
66;Masculino;38;de 35 a 39 anos;até ensino secundário;Regional;45; ;4;Nao concordo nem discordo;Discordo;Discordo;Nao concordo nem discordo;Discordo;Discordo;Discordo;Concordo;Concordo completamente;Concordo completamente;Concordo;diários e semanários;6;50;diário de notícias
71;Masculino;38;de 35 a 39 anos;ensino médio e superior;Regional;45; ;16;Nao concordo nem discordo;Concordo;Concordo;Concordo completamente;Concordo;Concordo;Nao concordo nem discordo;Concordo completamente;Concordo completamente;Concordo;Concordo;só semanários;4;70;público
78;Masculino;34;de 30 a 34 anos;ensino médio e superior;Regional;60; ;12;Concordo completamente;Concordo;Concordo;Concordo;Concordo completamente;Concordo;Concordo;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;diários e semanários;4;70;correio da manhã
41;Masculino;35;de 35 a 39 anos;até ensino secundário;Regional;50;Dar uma vista de olhos;8;Nao concordo nem discordo;Discordo;Nao concordo nem discordo;Nao concordo nem discordo;Nao concordo nem discordo;Nao concordo nem discordo;Discordo;Concordo;Nao concordo nem discordo;Nao concordo nem discordo;Concordo completamente;diários e semanários;14;60;diário de notícias
3;Feminino;99;9;até ensino secundário;Sol;45;Dar uma vista de olhos;8;Concordo completamente;Concordo completamente;Concordo;Concordo completamente;Concordo;Concordo completamente;Concordo completamente;Concordo;Concordo completamente;Concordo completamente;Nao concordo nem discordo;diários e semanários;3;55;público
9;Feminino;28;de 25 a 29 anos;até ensino secundário;Sol;60;Dar uma vista de olhos;4;Concordo;Concordo;Concordo;Concordo completamente;Discordo;Concordo;Nao concordo nem discordo;Nao concordo nem discordo;Discordo;Nao concordo nem discordo;Nao concordo nem discordo;diários e semanários;1;60;diário de notícias
32;Feminino;40;de 40 a 44 anos;ensino médio e superior;Sol;90;Dar uma vista de olhos;3;Concordo completamente;Concordo completamente;Concordo;Nao concordo nem discordo;Nao concordo nem discordo;Concordo completamente;Concordo;Discordo;Concordo;Nao concordo nem discordo;Discordo;diários e semanários;17;100;correio da manhã
50;Masculino;48;>= 45 anos;até ensino secundário;Sol;60;Dar uma vista de olhos;7;Concordo;Concordo;Concordo;Concordo;Concordo completamente;Concordo;Concordo;Concordo completamente;Concordo completamente;Concordo completamente;Concordo;diários e semanários;11;70;diário de notícias
6;Feminino;37;de 35 a 39 anos;até ensino secundário;Expresso;120;Ler algumas secções;5;Concordo;Nao concordo nem discordo;Concordo;Concordo;Nao concordo nem discordo;Nao concordo nem discordo;Concordo;Concordo completamente;Concordo completamente;Concordo;Nao concordo nem discordo;diários e semanários;3;140;a capital
8;Feminino;30;de 30 a 34 anos;até ensino secundário;Expresso;180;Ler algumas secções;4;Discordo;Nao concordo nem discordo;Concordo;Concordo completamente;Discordo;Nao concordo nem discordo;Nao concordo nem discordo;Concordo completamente;Discordo completamente;Nao concordo nem discordo;Concordo completamente;diários e semanários;1;200;diário de notícias
10;Feminino;25;de 25 a 29 anos;até ensino secundário;Expresso;30;Ler algumas secções;3;Concordo;Nao concordo nem discordo;Concordo;Concordo completamente;Concordo;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo;diários e semanários;2;30;9
26;Feminino;25;de 25 a 29 anos;ensino médio e superior;Expresso;30;Ler algumas secções;5;Discordo completamente;Discordo completamente;Concordo completamente;Nao concordo nem discordo;Concordo;Discordo;Discordo;Concordo completamente;Discordo completamente;Concordo completamente;Discordo;diários e semanários;3;30;outro
30;Feminino;45;>= 45 anos;ensino médio e superior;Expresso;120;Ler algumas secções;4;Nao concordo nem discordo;Nao concordo nem discordo;Concordo;Concordo;Nao concordo nem discordo;Concordo;Concordo;Concordo completamente;Discordo;Concordo;Concordo completamente;diários e semanários;11;140;correio da manhã
38;Masculino;25;de 25 a 29 anos;até ensino secundário;Expresso;195;Ler algumas secções;10;Nao concordo nem discordo;Concordo;Concordo completamente;Concordo completamente;Concordo;Concordo completamente;Concordo completamente;Concordo;Concordo completamente;Nao concordo nem discordo;Nao concordo nem discordo;diários e semanários;12;230;outro
